fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;density2;density3;density4
7.6;0.41;0.24;1.8;0.08;4.0;11.0;0.9962;3.28;0.59;9.5;5;1.4440000000000193;0.5487200000000111;0.2085136000000056
7.9;0.43;0.21;1.6;0.106;10.0;37.0;0.9966;3.17;0.91;9.5;5;1.1559999999999717;0.3930399999999856;0.1336335999999935
7.1;0.71;0.0;1.9;0.08;14.0;35.0;0.9972;3.47;0.55;9.4;5;0.7840000000000138;0.2195200000000058;0.061465600000002174
7.8;0.645;0.0;2.0;0.08199999999999999;8.0;16.0;0.9964;3.38;0.59;9.8;6;1.2960000000000345;0.4665600000000185;0.1679616000000089
6.7;0.675;0.07;2.4;0.08900000000000001;17.0;82.0;0.9958;3.35;0.54;10.1;5;1.7639999999999845;0.7408799999999903;0.3111695999999945
6.9;0.685;0.0;2.5;0.105;22.0;37.0;0.9966;3.46;0.57;10.6;6;1.1559999999999717;0.3930399999999856;0.1336335999999935
8.3;0.655;0.12;2.3;0.083;15.0;113.0;0.9966;3.17;0.66;9.8;5;1.1559999999999717;0.3930399999999856;0.1336335999999935
6.9;0.605;0.12;10.7;0.073;40.0;83.0;0.9993;3.45;0.52;9.4;6;0.04900000000000475;0.003430000000000499;0.00024010000000004655
5.2;0.32;0.25;1.8;0.10300000000000001;13.0;50.0;0.9957;3.38;0.55;9.2;5;1.8489999999999747;0.7950699999999837;0.34188009999999064
7.8;0.645;0.0;5.5;0.086;5.0;18.0;0.9986;3.4;0.55;9.6;6;0.1959999999999879;0.02743999999999746;0.003841599999999526
7.8;0.6;0.14;2.4;0.086;3.0;15.0;0.9975;3.42;0.6;10.8;6;0.6249999999999734;0.15624999999999;0.03906249999999667
8.1;0.38;0.28;2.1;0.066;13.0;30.0;0.9968;3.23;0.73;9.7;7;1.0239999999999876;0.32767999999999403;0.10485759999999747
5.7;1.13;0.09;1.5;0.172;7.0;19.0;0.9940000000000001;3.5;0.48;9.8;4;3.5999999999998735;2.159999999999886;1.2959999999999088
7.3;0.45;0.36;5.9;0.07400000000000001;12.0;87.0;0.9978;3.33;0.83;10.5;5;0.4839999999999911;0.10647999999999706;0.023425599999999137
7.3;0.45;0.36;5.9;0.07400000000000001;12.0;87.0;0.9978;3.33;0.83;10.5;5;0.4839999999999911;0.10647999999999706;0.023425599999999137
8.8;0.61;0.3;2.8;0.08800000000000001;17.0;46.0;0.9976;3.26;0.51;9.3;4;0.5759999999999798;0.1382399999999927;0.03317759999999766
7.5;0.49;0.2;2.6;0.332;8.0;14.0;0.9968;3.21;0.9;10.5;6;1.0239999999999876;0.32767999999999403;0.10485759999999747
8.1;0.66;0.22;2.2;0.069;9.0;23.0;0.9968;3.3;1.2;10.3;5;1.0239999999999876;0.32767999999999403;0.10485759999999747
6.8;0.67;0.02;1.8;0.05;5.0;11.0;0.9962;3.48;0.52;9.5;5;1.4440000000000193;0.5487200000000111;0.2085136000000056
4.6;0.52;0.15;2.1;0.054000000000000006;8.0;65.0;0.9934;3.9;0.56;13.1;4;4.356000000000066;2.8749600000000655;1.8974736000000578
7.7;0.935;0.43;2.2;0.114;22.0;114.0;0.997;3.25;0.73;9.2;5;0.9000000000000016;0.27000000000000074;0.0810000000000003
8.7;0.29;0.52;1.6;0.113;12.0;37.0;0.9969;3.25;0.58;9.5;5;0.9609999999999949;0.2979099999999976;0.09235209999999901
6.4;0.4;0.23;1.6;0.066;5.0;12.0;0.9958;3.34;0.56;9.2;5;1.7639999999999845;0.7408799999999903;0.3111695999999945
5.6;0.31;0.37;1.4;0.07400000000000001;12.0;96.0;0.9954;3.32;0.58;9.2;5;2.1160000000000445;0.9733600000000308;0.4477456000000189
8.8;0.66;0.26;1.7;0.07400000000000001;4.0;23.0;0.9971;3.15;0.74;9.2;5;0.8410000000000079;0.24389000000000344;0.07072810000000133
6.6;0.52;0.04;2.2;0.069;8.0;15.0;0.9956;3.4;0.63;9.4;6;1.9359999999999644;0.8518399999999765;0.3748095999999862
6.6;0.5;0.04;2.1;0.068;6.0;14.0;0.9955;3.39;0.64;9.4;6;2.0249999999999537;0.9112499999999687;0.41006249999998123
8.6;0.38;0.36;3.0;0.081;30.0;119.0;0.997;3.2;0.56;9.4;5;0.9000000000000016;0.27000000000000074;0.0810000000000003
7.6;0.51;0.15;2.8;0.11;33.0;73.0;0.9955;3.17;0.63;10.2;6;2.0249999999999537;0.9112499999999687;0.41006249999998123
7.7;0.62;0.04;3.8;0.084;25.0;45.0;0.9978;3.34;0.53;9.5;5;0.4839999999999911;0.10647999999999706;0.023425599999999137
10.2;0.42;0.57;3.4;0.07;4.0;10.0;0.9971;3.04;0.63;9.6;5;0.8410000000000079;0.24389000000000344;0.07072810000000133
7.5;0.63;0.12;5.1;0.111;50.0;110.0;0.9983;3.26;0.77;9.4;5;0.28900000000001186;0.04913000000000302;0.008352100000000685
7.8;0.59;0.18;2.3;0.076;17.0;54.0;0.9975;3.43;0.59;10.0;5;0.6249999999999734;0.15624999999999;0.03906249999999667
7.3;0.39;0.31;2.4;0.07400000000000001;9.0;46.0;0.9962;3.41;0.54;9.4;6;1.4440000000000193;0.5487200000000111;0.2085136000000056
8.8;0.4;0.4;2.2;0.079;19.0;52.0;0.998;3.44;0.64;9.2;5;0.40000000000000074;0.08000000000000022;0.01600000000000006
7.7;0.69;0.49;1.8;0.115;20.0;112.0;0.9968;3.21;0.71;9.3;5;1.0239999999999876;0.32767999999999403;0.10485759999999747
7.5;0.52;0.16;1.9;0.085;12.0;35.0;0.9968;3.38;0.62;9.5;7;1.0239999999999876;0.32767999999999403;0.10485759999999747
7.0;0.735;0.05;2.0;0.081;13.0;54.0;0.9966;3.39;0.57;9.8;5;1.1559999999999717;0.3930399999999856;0.1336335999999935
7.2;0.725;0.05;4.65;0.086;4.0;11.0;0.9962;3.41;0.39;10.9;5;1.4440000000000193;0.5487200000000111;0.2085136000000056
7.2;0.725;0.05;4.65;0.086;4.0;11.0;0.9962;3.41;0.39;10.9;5;1.4440000000000193;0.5487200000000111;0.2085136000000056
7.5;0.52;0.11;1.5;0.079;11.0;39.0;0.9968;3.42;0.58;9.6;5;1.0239999999999876;0.32767999999999403;0.10485759999999747
6.6;0.705;0.07;1.6;0.076;6.0;15.0;0.9962;3.44;0.58;10.7;5;1.4440000000000193;0.5487200000000111;0.2085136000000056
9.3;0.32;0.57;2.0;0.07400000000000001;27.0;65.0;0.9969;3.28;0.79;10.7;5;0.9609999999999949;0.2979099999999976;0.09235209999999901
8.0;0.705;0.05;1.9;0.07400000000000001;8.0;19.0;0.9962;3.34;0.95;10.5;6;1.4440000000000193;0.5487200000000111;0.2085136000000056
7.7;0.63;0.08;1.9;0.076;15.0;27.0;0.9967;3.32;0.54;9.5;6;1.08899999999998;0.3593699999999901;0.11859209999999563
7.7;0.67;0.23;2.1;0.08800000000000001;17.0;96.0;0.9962;3.32;0.48;9.5;5;1.4440000000000193;0.5487200000000111;0.2085136000000056
7.7;0.69;0.22;1.9;0.084;18.0;94.0;0.9961;3.31;0.48;9.5;5;1.5210000000000115;0.5931900000000067;0.23134410000000344
8.3;0.675;0.26;2.1;0.084;11.0;43.0;0.9976;3.31;0.53;9.2;4;0.5759999999999798;0.1382399999999927;0.03317759999999766
9.7;0.32;0.54;2.5;0.094;28.0;83.0;0.9984;3.28;0.82;9.6;5;0.25600000000001466;0.04096000000000352;0.006553600000000751
8.8;0.41;0.64;2.2;0.09300000000000001;9.0;42.0;0.9986;3.54;0.66;10.5;5;0.1959999999999879;0.02743999999999746;0.003841599999999526
8.8;0.41;0.64;2.2;0.09300000000000001;9.0;42.0;0.9986;3.54;0.66;10.5;5;0.1959999999999879;0.02743999999999746;0.003841599999999526
6.8;0.785;0.0;2.4;0.10400000000000001;14.0;30.0;0.9966;3.52;0.55;10.7;6;1.1559999999999717;0.3930399999999856;0.1336335999999935
6.7;0.75;0.12;2.0;0.086;12.0;80.0;0.9958;3.38;0.52;10.1;5;1.7639999999999845;0.7408799999999903;0.3111695999999945
8.3;0.625;0.2;1.5;0.08;27.0;119.0;0.9972;3.16;1.12;9.1;4;0.7840000000000138;0.2195200000000058;0.061465600000002174
6.2;0.45;0.2;1.6;0.069;3.0;15.0;0.9958;3.41;0.56;9.2;5;1.7639999999999845;0.7408799999999903;0.3111695999999945
7.8;0.43;0.7;1.9;0.46399999999999997;22.0;67.0;0.9974;3.13;1.28;9.4;5;0.6760000000000242;0.17576000000000946;0.04569760000000328
7.4;0.5;0.47;2.0;0.086;21.0;73.0;0.997;3.36;0.57;9.1;5;0.9000000000000016;0.27000000000000074;0.0810000000000003
7.3;0.67;0.26;1.8;0.401;16.0;51.0;0.9969;3.16;1.14;9.4;5;0.9609999999999949;0.2979099999999976;0.09235209999999901
6.3;0.3;0.48;1.8;0.069;18.0;61.0;0.9959;3.44;0.78;10.3;6;1.6809999999999938;0.6892099999999963;0.28257609999999794
6.9;0.55;0.15;2.2;0.076;19.0;40.0;0.9961;3.41;0.59;10.1;5;1.5210000000000115;0.5931900000000067;0.23134410000000344
8.6;0.49;0.28;1.9;0.11;20.0;136.0;0.9972;2.93;1.95;9.9;6;0.7840000000000138;0.2195200000000058;0.061465600000002174
7.7;0.49;0.26;1.9;0.062;9.0;31.0;0.9966;3.39;0.64;9.6;5;1.1559999999999717;0.3930399999999856;0.1336335999999935
9.3;0.39;0.44;2.1;0.107;34.0;125.0;0.9978;3.14;1.22;9.5;5;0.4839999999999911;0.10647999999999706;0.023425599999999137
7.0;0.62;0.08;1.8;0.076;8.0;24.0;0.9978;3.48;0.53;9.0;5;0.4839999999999911;0.10647999999999706;0.023425599999999137
7.9;0.52;0.26;1.9;0.079;42.0;140.0;0.9964;3.23;0.54;9.5;5;1.2960000000000345;0.4665600000000185;0.1679616000000089
8.6;0.49;0.28;1.9;0.11;20.0;136.0;0.9972;2.93;1.95;9.9;6;0.7840000000000138;0.2195200000000058;0.061465600000002174
8.6;0.49;0.29;2.0;0.11;19.0;133.0;0.9972;2.93;1.98;9.8;5;0.7840000000000138;0.2195200000000058;0.061465600000002174
7.7;0.49;0.26;1.9;0.062;9.0;31.0;0.9966;3.39;0.64;9.6;5;1.1559999999999717;0.3930399999999856;0.1336335999999935
5.0;1.02;0.04;1.4;0.045;41.0;85.0;0.9938;3.75;0.48;10.5;4;3.8439999999999794;2.383279999999981;1.4776335999999841
4.7;0.6;0.17;2.3;0.057999999999999996;17.0;106.0;0.9932;3.85;0.6;12.9;6;4.624000000000039;3.144320000000039;2.1381376000000354
6.8;0.775;0.0;3.0;0.102;8.0;23.0;0.9965;3.45;0.56;10.7;5;1.2249999999999635;0.4287499999999807;0.15006249999999102
7.0;0.5;0.25;2.0;0.07;3.0;22.0;0.9963;3.25;0.63;9.2;5;1.369000000000027;0.506530000000015;0.1874161000000074
7.6;0.9;0.06;2.5;0.079;5.0;10.0;0.9967;3.39;0.56;9.8;5;1.08899999999998;0.3593699999999901;0.11859209999999563
8.1;0.545;0.18;1.9;0.08;13.0;35.0;0.9972;3.3;0.59;9.0;6;0.7840000000000138;0.2195200000000058;0.061465600000002174
8.3;0.61;0.3;2.1;0.084;11.0;50.0;0.9972;3.4;0.61;10.2;6;0.7840000000000138;0.2195200000000058;0.061465600000002174
7.8;0.5;0.3;1.9;0.075;8.0;22.0;0.9959;3.31;0.56;10.4;6;1.6809999999999938;0.6892099999999963;0.28257609999999794
8.1;0.545;0.18;1.9;0.08;13.0;35.0;0.9972;3.3;0.59;9.0;6;0.7840000000000138;0.2195200000000058;0.061465600000002174
8.1;0.575;0.22;2.1;0.077;12.0;65.0;0.9967;3.29;0.51;9.2;5;1.08899999999998;0.3593699999999901;0.11859209999999563
7.2;0.49;0.24;2.2;0.07;5.0;36.0;0.996;3.33;0.48;9.4;5;1.600000000000003;0.6400000000000018;0.25600000000000095
8.1;0.575;0.22;2.1;0.077;12.0;65.0;0.9967;3.29;0.51;9.2;5;1.08899999999998;0.3593699999999901;0.11859209999999563
7.8;0.41;0.68;1.7;0.467;18.0;69.0;0.9973;3.08;1.31;9.3;5;0.7290000000000193;0.19683000000000783;0.05314410000000281
6.2;0.63;0.31;1.7;0.08800000000000001;15.0;64.0;0.9969;3.46;0.79;9.3;5;0.9609999999999949;0.2979099999999976;0.09235209999999901
8.0;0.33;0.53;2.5;0.091;18.0;80.0;0.9976;3.37;0.8;9.6;6;0.5759999999999798;0.1382399999999927;0.03317759999999766
8.1;0.785;0.52;2.0;0.122;37.0;153.0;0.9969;3.21;0.69;9.3;5;0.9609999999999949;0.2979099999999976;0.09235209999999901
7.8;0.56;0.19;1.8;0.10400000000000001;12.0;47.0;0.9964;3.19;0.93;9.5;5;1.2960000000000345;0.4665600000000185;0.1679616000000089
8.4;0.62;0.09;2.2;0.084;11.0;108.0;0.9964;3.15;0.66;9.8;5;1.2960000000000345;0.4665600000000185;0.1679616000000089
8.4;0.6;0.1;2.2;0.085;14.0;111.0;0.9964;3.15;0.66;9.8;5;1.2960000000000345;0.4665600000000185;0.1679616000000089
10.1;0.31;0.44;2.3;0.08;22.0;46.0;0.9988;3.32;0.67;9.7;6;0.14399999999999494;0.017279999999999088;0.002073599999999854
7.8;0.56;0.19;1.8;0.10400000000000001;12.0;47.0;0.9964;3.19;0.93;9.5;5;1.2960000000000345;0.4665600000000185;0.1679616000000089
9.4;0.4;0.31;2.2;0.09;13.0;62.0;0.9966;3.07;0.63;10.5;6;1.1559999999999717;0.3930399999999856;0.1336335999999935
8.3;0.54;0.28;1.9;0.077;11.0;40.0;0.9978;3.39;0.61;10.0;6;0.4839999999999911;0.10647999999999706;0.023425599999999137
7.8;0.56;0.12;2.0;0.08199999999999999;7.0;28.0;0.997;3.37;0.5;9.4;6;0.9000000000000016;0.27000000000000074;0.0810000000000003
8.8;0.55;0.04;2.2;0.11900000000000001;14.0;56.0;0.9962;3.21;0.6;10.9;6;1.4440000000000193;0.5487200000000111;0.2085136000000056
7.0;0.69;0.08;1.8;0.09699999999999999;22.0;89.0;0.9959;3.34;0.54;9.2;6;1.6809999999999938;0.6892099999999963;0.28257609999999794
7.3;1.07;0.09;1.7;0.17800000000000002;10.0;89.0;0.9962;3.3;0.57;9.0;5;1.4440000000000193;0.5487200000000111;0.2085136000000056
8.8;0.55;0.04;2.2;0.11900000000000001;14.0;56.0;0.9962;3.21;0.6;10.9;6;1.4440000000000193;0.5487200000000111;0.2085136000000056
7.3;0.695;0.0;2.5;0.075;3.0;13.0;0.998;3.49;0.52;9.2;5;0.40000000000000074;0.08000000000000022;0.01600000000000006
8.0;0.71;0.0;2.6;0.08;11.0;34.0;0.9976;3.44;0.53;9.5;5;0.5759999999999798;0.1382399999999927;0.03317759999999766
7.8;0.5;0.17;1.6;0.08199999999999999;21.0;102.0;0.996;3.39;0.48;9.5;5;1.600000000000003;0.6400000000000018;0.25600000000000095
9.0;0.62;0.04;1.9;0.146;27.0;90.0;0.9984;3.16;0.7;9.4;5;0.25600000000001466;0.04096000000000352;0.006553600000000751
8.2;1.33;0.0;1.7;0.081;3.0;12.0;0.9964;3.53;0.49;10.9;5;1.2960000000000345;0.4665600000000185;0.1679616000000089
8.1;1.33;0.0;1.8;0.08199999999999999;3.0;12.0;0.9964;3.54;0.48;10.9;5;1.2960000000000345;0.4665600000000185;0.1679616000000089
8.0;0.59;0.16;1.8;0.065;3.0;16.0;0.9962;3.42;0.92;10.5;7;1.4440000000000193;0.5487200000000111;0.2085136000000056
6.1;0.38;0.15;1.8;0.07200000000000001;6.0;19.0;0.9955;3.42;0.57;9.4;5;2.0249999999999537;0.9112499999999687;0.41006249999998123
8.0;0.745;0.56;2.0;0.11800000000000001;30.0;134.0;0.9968;3.24;0.66;9.4;5;1.0239999999999876;0.32767999999999403;0.10485759999999747
5.6;0.5;0.09;2.3;0.049;17.0;99.0;0.9937;3.63;0.63;13.0;5;3.968999999999965;2.5004699999999667;1.575296099999972
5.6;0.5;0.09;2.3;0.049;17.0;99.0;0.9937;3.63;0.63;13.0;5;3.968999999999965;2.5004699999999667;1.575296099999972
6.6;0.5;0.01;1.5;0.06;17.0;26.0;0.9952;3.4;0.58;9.8;6;2.3040000000000256;1.1059200000000182;0.5308416000000117
7.9;1.04;0.05;2.2;0.084;13.0;29.0;0.9959;3.22;0.55;9.9;6;1.6809999999999938;0.6892099999999963;0.28257609999999794
8.4;0.745;0.11;1.9;0.09;16.0;63.0;0.9965;3.19;0.82;9.6;5;1.2249999999999635;0.4287499999999807;0.15006249999999102
8.3;0.715;0.15;1.8;0.08900000000000001;10.0;52.0;0.9968;3.23;0.77;9.5;5;1.0239999999999876;0.32767999999999403;0.10485759999999747
7.2;0.415;0.36;2.0;0.081;13.0;45.0;0.9972;3.48;0.64;9.2;5;0.7840000000000138;0.2195200000000058;0.061465600000002174
7.8;0.56;0.19;2.1;0.081;15.0;105.0;0.9962;3.33;0.54;9.5;5;1.4440000000000193;0.5487200000000111;0.2085136000000056
7.8;0.56;0.19;2.0;0.081;17.0;108.0;0.9962;3.32;0.54;9.5;5;1.4440000000000193;0.5487200000000111;0.2085136000000056
8.4;0.745;0.11;1.9;0.09;16.0;63.0;0.9965;3.19;0.82;9.6;5;1.2249999999999635;0.4287499999999807;0.15006249999999102
8.3;0.715;0.15;1.8;0.08900000000000001;10.0;52.0;0.9968;3.23;0.77;9.5;5;1.0239999999999876;0.32767999999999403;0.10485759999999747
5.2;0.34;0.0;1.8;0.05;27.0;63.0;0.9916;3.68;0.79;14.0;6;7.055999999999938;5.927039999999923;4.978713599999912
6.3;0.39;0.08;1.7;0.066;3.0;20.0;0.9954;3.34;0.58;9.4;5;2.1160000000000445;0.9733600000000308;0.4477456000000189
5.2;0.34;0.0;1.8;0.05;27.0;63.0;0.9916;3.68;0.79;14.0;6;7.055999999999938;5.927039999999923;4.978713599999912
8.1;0.67;0.55;1.8;0.11699999999999999;32.0;141.0;0.9968;3.17;0.62;9.4;5;1.0239999999999876;0.32767999999999403;0.10485759999999747
5.8;0.68;0.02;1.8;0.087;21.0;94.0;0.9944;3.54;0.52;10.0;5;3.136000000000055;1.7561600000000464;0.9834496000000348
7.6;0.49;0.26;1.6;0.23600000000000002;10.0;88.0;0.9968;3.11;0.8;9.3;5;1.0239999999999876;0.32767999999999403;0.10485759999999747
6.9;0.49;0.1;2.3;0.07400000000000001;12.0;30.0;0.9959;3.42;0.58;10.2;6;1.6809999999999938;0.6892099999999963;0.28257609999999794
8.2;0.4;0.44;2.8;0.08900000000000001;11.0;43.0;0.9975;3.53;0.61;10.5;6;0.6249999999999734;0.15624999999999;0.03906249999999667
7.3;0.33;0.47;2.1;0.077;5.0;11.0;0.9958;3.33;0.53;10.3;6;1.7639999999999845;0.7408799999999903;0.3111695999999945
9.2;0.52;1.0;3.4;0.61;32.0;69.0;0.9996;2.74;2.0;9.4;4;0.015999999999996475;0.0006399999999997885;2.5599999999988723e-05
7.5;0.6;0.03;1.8;0.095;25.0;99.0;0.995;3.35;0.54;10.1;5;2.5000000000000044;1.2500000000000033;0.6250000000000022
7.5;0.6;0.03;1.8;0.095;25.0;99.0;0.995;3.35;0.54;10.1;5;2.5000000000000044;1.2500000000000033;0.6250000000000022
7.1;0.43;0.42;5.5;0.07;29.0;129.0;0.9973;3.42;0.72;10.5;5;0.7290000000000193;0.19683000000000783;0.05314410000000281
7.1;0.43;0.42;5.5;0.071;28.0;128.0;0.9973;3.42;0.71;10.5;5;0.7290000000000193;0.19683000000000783;0.05314410000000281
7.1;0.43;0.42;5.5;0.07;29.0;129.0;0.9973;3.42;0.72;10.5;5;0.7290000000000193;0.19683000000000783;0.05314410000000281
7.1;0.43;0.42;5.5;0.071;28.0;128.0;0.9973;3.42;0.71;10.5;5;0.7290000000000193;0.19683000000000783;0.05314410000000281
7.1;0.68;0.0;2.2;0.073;12.0;22.0;0.9969;3.48;0.5;9.3;5;0.9609999999999949;0.2979099999999976;0.09235209999999901
6.8;0.6;0.18;1.9;0.079;18.0;86.0;0.9968;3.59;0.57;9.3;6;1.0239999999999876;0.32767999999999403;0.10485759999999747
7.6;0.95;0.03;2.0;0.09;7.0;20.0;0.9959;3.2;0.56;9.6;5;1.6809999999999938;0.6892099999999963;0.28257609999999794
7.6;0.68;0.02;1.3;0.07200000000000001;9.0;20.0;0.9965;3.17;1.08;9.2;4;1.2249999999999635;0.4287499999999807;0.15006249999999102
7.8;0.53;0.04;1.7;0.076;17.0;31.0;0.9964;3.33;0.56;10.0;6;1.2960000000000345;0.4665600000000185;0.1679616000000089
7.4;0.6;0.26;7.3;0.07;36.0;121.0;0.9982;3.37;0.49;9.4;5;0.3240000000000086;0.058320000000002314;0.010497600000000556
7.3;0.59;0.26;7.2;0.07;35.0;121.0;0.9981;3.37;0.49;9.4;5;0.3610000000000048;0.06859000000000139;0.01303210000000035
7.8;0.63;0.48;1.7;0.1;14.0;96.0;0.9961;3.19;0.62;9.5;5;1.5210000000000115;0.5931900000000067;0.23134410000000344
6.8;0.64;0.1;2.1;0.085;18.0;101.0;0.9956;3.34;0.52;10.2;5;1.9359999999999644;0.8518399999999765;0.3748095999999862
7.3;0.55;0.03;1.6;0.07200000000000001;17.0;42.0;0.9956;3.37;0.48;9.0;4;1.9359999999999644;0.8518399999999765;0.3748095999999862
6.8;0.63;0.07;2.1;0.08900000000000001;11.0;44.0;0.9953;3.47;0.55;10.4;6;2.209000000000035;1.0382300000000249;0.48796810000001556
7.5;0.705;0.24;1.8;0.36;15.0;63.0;0.9964;3.0;1.59;9.5;5;1.2960000000000345;0.4665600000000185;0.1679616000000089
7.9;0.885;0.03;1.8;0.057999999999999996;4.0;8.0;0.9972;3.36;0.33;9.1;4;0.7840000000000138;0.2195200000000058;0.061465600000002174
8.0;0.42;0.17;2.0;0.073;6.0;18.0;0.9972;3.29;0.61;9.2;6;0.7840000000000138;0.2195200000000058;0.061465600000002174
8.0;0.42;0.17;2.0;0.073;6.0;18.0;0.9972;3.29;0.61;9.2;6;0.7840000000000138;0.2195200000000058;0.061465600000002174
7.4;0.62;0.05;1.9;0.068;24.0;42.0;0.9961;3.42;0.57;11.5;6;1.5210000000000115;0.5931900000000067;0.23134410000000344
7.3;0.38;0.21;2.0;0.08;7.0;35.0;0.9961;3.33;0.47;9.5;5;1.5210000000000115;0.5931900000000067;0.23134410000000344
6.9;0.5;0.04;1.5;0.085;19.0;49.0;0.9958;3.35;0.78;9.5;5;1.7639999999999845;0.7408799999999903;0.3111695999999945
7.3;0.38;0.21;2.0;0.08;7.0;35.0;0.9961;3.33;0.47;9.5;5;1.5210000000000115;0.5931900000000067;0.23134410000000344
7.5;0.52;0.42;2.3;0.087;8.0;38.0;0.9972;3.58;0.61;10.5;6;0.7840000000000138;0.2195200000000058;0.061465600000002174
7.0;0.805;0.0;2.5;0.068;7.0;20.0;0.9969;3.48;0.56;9.6;5;0.9609999999999949;0.2979099999999976;0.09235209999999901
8.8;0.61;0.14;2.4;0.067;10.0;42.0;0.9969;3.19;0.59;9.5;5;0.9609999999999949;0.2979099999999976;0.09235209999999901
8.8;0.61;0.14;2.4;0.067;10.0;42.0;0.9969;3.19;0.59;9.5;5;0.9609999999999949;0.2979099999999976;0.09235209999999901
8.9;0.61;0.49;2.0;0.27;23.0;110.0;0.9972;3.12;1.02;9.3;5;0.7840000000000138;0.2195200000000058;0.061465600000002174
7.2;0.73;0.02;2.5;0.076;16.0;42.0;0.9972;3.44;0.52;9.3;5;0.7840000000000138;0.2195200000000058;0.061465600000002174
6.8;0.61;0.2;1.8;0.077;11.0;65.0;0.9971;3.54;0.58;9.3;5;0.8410000000000079;0.24389000000000344;0.07072810000000133
